nome;municipio
Coordenação Regional de Cuiabá;5103403
Coordenação Regional do Tapajós;1503606
Coordenação Regional Roraima I;1400100
Coordenação Regional do Baixo Tocantins;1504208
Coordenação Regional de Cacoal;1100049
Coordenação Regional Interior Sul;4204202
Coordenação Regional Araguaia Tocantins;1721000
Coordenação Regional Kayapó Sul do Pará;1508084
Unidade Técnica Local em Parintins;1303403
Unidade Técnica Local em Manicoré;1302702
Unidade Técnica Local em Nova Olinda do Norte;1303106
Unidade Técnica Local em Nhamundá;1303007
Unidade Técnica Local em Oriximiná;1505304
Unidade Técnica Local em Maués;1302900
Unidade Técnica Local em Glória;2911402
Unidade Técnica Local em Ribeira do Pombal;2902658
Unidade Técnica Local em Ibotirama;2913200
Unidade Técnica Local em Petrolândia;2614808
Unidade Técnica Local em Euclides da Cunha;2910701
Unidade Técnica Local em Rodelas;2927101
Unidade Técnica Local em Autazes;1300300
Unidade Técnica Local em Coari;1302603
Unidade Técnica Local em Manacapuru;1302504
Unidade Técnica Local na Terra Indígena Xapecó;4207684
Unidade Técnica Local em Chapecó;4204202
Unidade Técnica Local em Jacareacanga;1503754
Unidade Técnica Local em Águas Belas;2600500
Unidade Avançada Médio Xingu I;1500602
Unidade Avançada Médio Xingu V;1500602
Unidade Avançada Médio Xingu IV;1500602
Unidade Avançada Médio Xingu II;1500602
Unidade Avançada Médio Xingu III;1500602
Unidade Avançada Waimiri-Atroari I;1303536
Unidade Avançada Waimiri-Atroari II;1302603
Unidade Avançada Waimiri-Atroari III;1302603
Unidade Técnica Local em Natal;2408102
Unidade Técnica Local em Itaituba;1503606
Unidade Técnica Local em Santarém;1506807
Unidade Técnica Local em Juína II;5105150
Unidade Técnica Local em Juína I;5105150
Unidade Técnica Local em Vilhena II;1100304
Unidade Técnica Local em Brasnorte;5101902
Unidade Técnica Local em Itarema;2306553
Unidade Técnica Local em Crateús;2304103
Unidade Técnica Local no Estado do Piauí;2304400
Unidade Técnica Local em Baía da Traição;2501401
Unidade Técnica Local em Conde;2507507
Unidade Avançada Madeira II;1100205
Coordenação Regional Noroeste do Mato Grosso;5105150
Coordenação Regional Ribeirão Cascalheira;5107180
Coordenação Regional de Guajará-Mirim;1100106
Coordenação Regional Alto Purus;1200401
Coordenação Regional Maranhão;2105302
Coordenação Regional Amapá e Norte do Pará;1600303
Coordenação Regional do Vale do Javari;1300201
Coordenação Regional Ponta Porã;5006606
Coordenação Regional Baixo São Francisco;2924009
Coordenação Regional Guarapuava;4109401
Coordenação Regional João Pessoa;2507507
Unidade Técnica Local em Juara;5105101
Unidade Técnica Local em Aripuanã;5101407
Unidade Técnica Local em Cotriguaçu;5105150
Unidade Técnica Local em Santa Maria das Barreiras;1506583
Unidade Técnica Local em Goiânia;5208707
Unidade Técnica Local em São Felix do Araguaia;5107859
Unidade Avançada Madeira I;1100205
Unidade Avançada Madeira III;1100205
Coordenação Regional de Suporte Rio Branco;1200401
Coordenação Regional de Suporte Belém;1501402
Unidade Técnica Local em Confresa;5103353
Unidade Técnica Local em Tocantínia;1721109
Unidade Técnica Local em Minaçu;5213087
Unidade Técnica Local em Tocantinópolis;1721208
Unidade Técnica Local em Araguaína;1702109
Unidade Técnica Local em Brasília;5300108
Unidade Técnica Local em Carolina ;2102804
Unidade Técnica Local em Itacajá;1710508
Unidade Técnica Local em Santa Terezinha;5107776
Unidade Técnica Local em Gurupi;1709500
Unidade Técnica Local em Pedra Branca do Amapari;1600154
Unidade Técnica Local em Oiapoque III;1600501
Unidade Técnica Local em Oiapoque I;1600501
Unidade Técnica Local em Oiapoque II;1600501
Unidade Técnica Local em Iguatemi;5004304
Unidade Técnica Local em Amambaí;5000609
Unidade Técnica Local em Paranhos;5006358
Unidade Técnica Local em Tacuru;5007950
Unidade Técnica Local em Antônio João;5006606
Unidade Técnica Local em Boa Vista ;1400100
Unidade Técnica Local em Pacaraima;1400100
Unidade Técnica Local em Amajari ;1400100
Unidade Técnica Local em Normandia;1400100
Coordenação Regional Madeira;1301704
Coordenação Regional de Minas Gerais e Espírito Santo;3127701
Unidade Técnica Local em Uiramutã;1400100
Unidade Técnica Local em Bonfim;1400100
Unidade Técnica Local em Alto Boa Vista;5107180
Unidade Técnica Local em Água Boa I;5100201
Unidade Técnica Local em Água Boa II;5100201
Unidade Avançada Yanomami e Ye'kuana VII;1400100
Unidade Avançada Yanomami e Ye'kuana VIII;1400100
Unidade Avançada Yanomami e Ye'kuana VI;1400100
Unidade Avançada Yanomami e Ye'kuana V;1400100
Unidade Avançada Yanomami e Ye'kuana III;1400100
Unidade Avançada Yanomami e Ye'kuana IV;1400100
Unidade Avançada Yanomami e Ye'kuana IX;1400100
Unidade Avançada Yanomami e Ye'kuana II;1400100
Unidade Avançada Yanomami e Ye'kuana I;1400100
Unidade Técnica Local em Palmeira do Javari II;1300201
Unidade Técnica Local em Eirunepé;1301407
Unidade Técnica Local em Atalaia do Norte I;1300201
Coordenação Regional de Suporte São José/SC;4216602
Unidade Técnica Local em Paranatinga I;5106307
Unidade Técnica Local em Sapezal;5107875
Unidade Técnica Local em Nobres;5103403
Unidade Técnica Local em Campo Novo do Parecis;5102637
Unidade Técnica Local em Caarapó;5002407
Unidade Técnica Local em Douradina;5003702
Coordenação Regional Médio Solimões;1304203
Unidade Técnica Local em Dourados II;5003702
Unidade Técnica Local em Dourados I;5003702
Unidade Técnica Local em Guajará-Mirim I;1100106
Unidade Técnica Local em Guajará-Mirim II;1100106
Unidade Técnica Local em Guajará-Mirim III;1100106
Unidade Técnica Local em Nova Mamoré;1100338
Unidade Técnica Local em Guajará-Mirim IV;1100106
Unidade Técnica Local em Nova Laranjeiras;4117057
Unidade Técnica Local em Londrina;4113700
Unidade Técnica Local em Guaíra;4108809
Unidade Técnica Local em São Jerônimo da Serra;4124707
Unidade Técnica Local em Curitiba;4106902
Unidade Técnica Local em São Gabriel da Cachoeira II;1303809
Unidade Técnica Local em São Gabriel da Cachoeira I;1303809
Unidade Técnica Local em Santa Isabel do Rio Negro;1303601
Unidade Técnica Local em Bauru;3506003
Unidade Técnica Local em Registro;3542602
Unidade Técnica Local em Braúna;3507704
Unidade Técnica Local em São Paulo;3550308
Unidade Técnica Local em Itanhaém;3522109
Unidade Técnica Local em Paraty;3303807
Unidade Técnica Local em Santo Augusto;4317806
Unidade Técnica Local em Nonoai;4312708
Unidade Técnica Local em Tucuruí;1508100
Unidade Técnica Local em Marabá;1504208
Unidade Técnica Local em Itupiranga;1504208
Unidade Técnica Local em Água Azul do Norte;1504208
Unidade Técnica Local em Miraguaí;4312302
Unidade Técnica Local em Porto Alegre II;4314902
Unidade Técnica Local em Iraí;4310504
Unidade Técnica Local em Cacique Doble;4303202
Unidade Técnica Local em Tapejara;4314100
Unidade Avançada Awá III;2111300
Unidade Avançada Awá II;2111029
Unidade Avançada Purus III;1302405
Unidade Técnica Local em Belém;1501402
Unidade Técnica Local em Tucumã I;1508084
Unidade Técnica Local em Redenção;1506138
Unidade Técnica Local em São Félix do Xingu;1507300
Unidade Avançada Awá I;2105302
Unidade Técnica Local em Sidrolândia;5007901
Unidade Técnica Local em Miranda;5005608
Unidade Técnica Local em Aquidauana;5001102
Unidade Técnica Local em Bonito;5002209
Unidade Técnica Local em Corumbá;5003207
Unidade Avançada Purus IV;1302405
Unidade Avançada Purus II;1302405
Unidade Avançada Purus I;1302405
Coordenação Regional de Suporte Recife;2611606
Unidade Técnica Local em Novo Progresso III;1508084
Unidade Técnica Local em Tucumã II;1508084
Unidade Avançada Madeirinha-Juruena III;5103403
Unidade Avançada Madeirinha-Juruena I;5103403
Unidade Avançada Madeirinha-Juruena II;5103403
Unidade Técnica Local em Humatiá III;1301704
Unidade Técnica Local em Humaitá I;1301704
Unidade Técnica Local em Humaitá II;1301704
Coordenação Regional Roraima II;5300108
Unidade Técnica Local em Altamira IV;1500602
Unidade Técnica Local em Altamira V;1500602
Unidade Técnica Local em Altamira I;1500602
Unidade Técnica Local em Altamira VI;1500602
Unidade Técnica Local em Altamira II;1500602
Unidade Técnica Local em Ji-Paraná II;1100122
Unidade Técnica Local em Porto Velho;1100205
Unidade Técnica Local em Mirante da Serra;1101302
Unidade Técnica Local em Pariconha;2706422
Unidade Técnica Local em Brasilândia;5002308
Unidade Técnica Local em Santa Helena de Minas;3157658
Unidade Técnica Local em Resplendor;3154309
Unidade Técnica Local em São João das Missões;3162450
Unidade Técnica Local em Teófilo Otoni;3168606
Unidade Técnica Local em Carmésia;3127701
Unidade Técnica Local em Amarante do Maranhão II;2100600
Coordenação Regional Norte do Mato Grosso;5103205
Coordenação Regional do Rio Negro;1303809
Coordenação Regional Xavante;5101803
Unidade Técnica Local em Montes Altos;2107001
Unidade Técnica Local em Arame;2100956
Unidade Técnica Local em Grajaú;2104800
Unidade Técnica Local em Amarante do Maranhão I;2100600
Unidade Técnica Local em Jenipapo dos Vieiras;2105476
Unidade Técnica Local em Barra do Corda I;2101608
Unidade Técnica Local em Palmeira do Javari I;1300201
Unidade Técnica Local em Atalaia do Norte II;1300201
Unidade Técnica Local em Nova Xavantina;5106257
Unidade Técnica Local em Campinápolis II;5102603
Unidade Técnica Local em Barra do Garças;5101803
Unidade Técnica Local em Campinápolis I;5102603
Unidade Técnica Local em Primavera do Leste;5107040
Unidade Técnica Local em Borba;1300805
Unidade Técnica Local em Apiacás;5100250
Unidade Técnica Local em Guarantã do Norte;5104104
Unidade Técnica Local em Matupá;5103205
Unidade Técnica Local em Alta Floresta;5100250
Unidade Técnica Local em Peixoto de Azevedo;5103205
Unidade Técnica Local em Cabrobó;2603009
Coordenação Regional Nordeste I;2704302
Coordenação Regional do Alto Solimões;1304062
Coordenação Regional Dourados ;5003702
Coordenação Regional de Ji-Paraná;1100122
Coordenação Regional Sul da Bahia;2925303
Coordenação Regional Campo Grande;5002704
Coordenação Regional Nordeste II;2304400
Coordenação Regional Litoral Sul;4216602
Coordenação Regional Médio Juruá;1301407
Unidade Técnica Local em Altamira III;1500602
Unidade Avançada  Envira IV;1200401
Unidade Avançada  Envira VI;1200401
Unidade Avançada  Envira V;1200401
Unidade Avançada  Envira II;1200401
Unidade Avançada  Envira I;1200302
Unidade Avançada  Envira III;1200401
Unidade Técnica Local em Novo Progresso I;1505031
Unidade Técnica Local em Novo Progresso II;1505031
Unidade Técnica Local em Tangará da Serra;5107958
Unidade Técnica Local em Ji-Paraná I;1100122
Unidade Técnica Local em Rondolândia II;1100122
Unidade Técnica Local em Alta Floresta D'Oeste;1100015
Unidade Técnica Local em Mâncio Lima;1200203
Unidade Técnica Local em Jordão;1200203
Unidade Técnica Local em Tarauacá;1200609
Unidade Técnica Local em Rondonópolis;5107602
Unidade Técnica Local em Vilhena I;1100304
Unidade Técnica Local em Comodoro;5103304
Unidade Técnica Local em Pontes e Lacerda;5106752
Unidade Técnica Local em General Carneiro;5103403
Unidade Técnica Local em Barão de Melgaço;5103403
Unidade Técnica Local em Espigão D' Oeste;1100049
Unidade Técnica Local em Rondolândia I;1100049
Unidade Técnica Local em Ibimirim;2607000
Unidade Técnica Local em Arapiraca;2704302
Unidade Técnica Local em Joaquim Gomes;2703809
Unidade Técnica Local em Porto da Folha;2805604
Unidade Técnica Local em Arcoverde;2602803
Unidade Técnica Local em Marechal Thaumaturgo;1200203
Unidade Técnica Local em Feijó;1200302
Unidade Técnica Local em Boca do Acre;1300706
Unidade Técnica Local em Santa Rosa do Purus;1200435
Unidade Técnica Local em Sena Madureira;1200500
Unidade Técnica Local em Porto Velho (Vila Extrema);1100205
Unidade Avançada Guaporé II;1100015
Unidade Avançada Guaporé I;1100015
Unidade Avançada Guaporé III;1100015
Unidade Avançada Cuminapanema II;1506807
Unidade Avançada Cuminapanema I;1500602
Unidade Avançada Cuminapanema III;1506807
Unidade Avançada Cuminapanema IV;1506807
Unidade Avançada Vale do Javari II;1304062
Unidade Avançada Vale do Javari III;1304062
Unidade Avançada Vale do Javari IV;1304062
Unidade Avançada Vale do Javari V;1304062
Unidade Avançada Vale do Javari I;1304062
Unidade Avançada Vale do Javari VI;1304062
Unidade Avançada Vale do Javari VII;1304062
Unidade Técnica Local em José Boiteux;4209151
Unidade Técnica Local em Joinville;4209102
Unidade Técnica Local em Paranaguá;4118204
Unidade Técnica Local em Porto Alegre I;4314902
Unidade Técnica Local em Cruz Alta;4306106
Unidade Técnica Local em Palhoça;4216602
Unidade Técnica Local em Chupinguaia;1100049
Unidade Técnica Local em Cacoal III;1100049
Unidade Técnica Local em Feliz Natal;5103700
Unidade Técnica Local em Paranatinga II;5106307
Unidade Técnica Local em Gaúcha do Norte I;5103858
Unidade Técnica Local em São Félix do Araguaia II;5107859
Unidade Técnica Local em Querência II ;5107065
Unidade Técnica Local em Gaúcha do Norte II;5103858
Unidade Técnica Local em Tefé;1304203
Unidade Técnica Local em São Paulo de Olivença;1303908
Unidade Técnica Local em Carauari;1301001
Unidade Técnica Local em Santo Antônio do Içá;1304062
Unidade Técnica Local em Jutaí;1302306
Unidade Técnica Local em Benjamin Constant;1300607
Coordenação Regional de Suporte Cuiabá;5103403
Unidade Técnica Local em Cacoal I;1100049
Unidade Técnica Local em Cacoal II;1100049
Unidade Técnica Local em Recife;2611606
Unidade Técnica Local em Floresta;2605707
Unidade Técnica Local em Porto Real do Colégio;2707503
Unidade Técnica Local em Palmeira dos Índios;2706307
Unidade Técnica Local em Porto Seguro;2925303
Unidade Técnica Local em Pau Brasil;2925303
Unidade Técnica Local em Itabuna;2914802
Unidade Técnica Local em Itamaraju;2915601
Unidade Técnica Local em Ilhéus;2913606
Unidade Técnica Local em Eunápolis;2910727
Unidade Avançada Uru-Eu-Wau-Wau IV;1100122
Unidade Avançada Uru-Eu-Wau-Wau III;1100122
Coordenação Regional de Suporte São Luís;2111300
Unidade Avançada Uru-Eu-Wau-Wau II;1100122
Unidade Avançada Uru-Eu-Wau-Wau I;1100122
Unidade Técnica Local em Barcelos;1303809
Unidade Técnica Local em São Gabriel da Cachoeira III;1303809
Coordenação Regional Pernambuco;5300108
Unidade Técnica Local em Querência I;5107065
Unidade Técnica Local em Pauini;1303502
Coordenação Regional de Suporte Manaus;1302603
Unidade Técnica Local em Tapauá;1304104
Unidade Técnica Local em Canutama;1300904
Unidade Técnica Local em Lábrea;1302405
Unidade Técnica Local em Barra do Corda II;2101608
Coordenação Regional Centro Leste do Pará;1500602
Coordenação Regional Passo Fundo;4314100
Unidade Técnica Local em Aracruz;3200607
Unidade Técnica Local em Santa Inês;2109908
Coordenação Regional Xingu;5102702
Coordenação Regional de Manaus;1302603
Coordenação Regional Médio Purus;1302405
Coordenação Regional do Juruá;1200203
Coordenação Regional Litoral Sudeste;3522109
